4|urackit-voice  | 2025-12-17 18:51:14: INFO:     connection open
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,868 - sip_integration.openai_realtime - INFO - Connected to OpenAI Realtime API for session voice-75ecd664c6d3
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,868 - sip_integration.media_stream - INFO - OpenAI Realtime connected for session voice-75ecd664c6d3
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,868 - sip_integration.media_stream - INFO - Twilio media stream connected
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,868 - sip_integration.session_manager - INFO - Session voice-75ecd664c6d3 state updated to connected
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,868 - sip_integration.media_stream - INFO - Media stream started (main): MZ58becb6213a38cdc0c675775128d03bb
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,927 - sip_integration.openai_realtime - INFO - OpenAI session created
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,958 - sip_integration.openai_realtime - INFO - OpenAI session updated
4|urackit-voice  | 2025-12-17 18:51:14: 2025-12-17 18:51:14,958 - sip_integration.openai_realtime - INFO - Triggered initial greeting with caller phone: +15512474097
4|urackit-voice  | 2025-12-17 18:51:15: 2025-12-17 18:51:15,535 - sip_integration.media_stream - INFO - Function call: find_contact_by_phone({'phone': '+15512474097'})
4|urackit-voice  | 2025-12-17 18:51:16: 2025-12-17 18:51:16,381 - sip_integration.agent_adapter - INFO - Executed tool find_contact_by_phone: success
4|urackit-voice  | 2025-12-17 18:51:17: 2025-12-17 18:51:17,782 - sip_integration.media_stream - INFO - [assistant]: Hi there! Thanks for calling U Rack IT support. May I have your name, please?...
4|urackit-voice  | 2025-12-17 18:51:23: 2025-12-17 18:51:23,069 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:51:23: 2025-12-17 18:51:23,069 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:51:23: 2025-12-17 18:51:23,069 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:51:23: 2025-12-17 18:51:23,069 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:51:25: 2025-12-17 18:51:25,931 - sip_integration.media_stream - INFO - [user]: Hi, my name is Sai....
4|urackit-voice  | 2025-12-17 18:51:26: 2025-12-17 18:51:26,556 - sip_integration.media_stream - INFO - [assistant]: Nice to meet you, Sai. Could you please provide your company name?...
4|urackit-voice  | 2025-12-17 18:51:31: 2025-12-17 18:51:31,514 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:51:31: 2025-12-17 18:51:31,514 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:51:31: 2025-12-17 18:51:31,514 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:51:31: 2025-12-17 18:51:31,514 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:51:35: 2025-12-17 18:51:35,159 - sip_integration.media_stream - INFO - [user]: My company name is ABC Solutions....
4|urackit-voice  | 2025-12-17 18:51:35: 2025-12-17 18:51:35,654 - sip_integration.media_stream - INFO - [assistant]: Got it. And lastly, can I have your phone number, just to confirm?...
4|urackit-voice  | 2025-12-17 18:51:40: 2025-12-17 18:51:40,694 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:51:40: 2025-12-17 18:51:40,694 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:51:40: 2025-12-17 18:51:40,695 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:51:40: 2025-12-17 18:51:40,695 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
